Epoch   100 | Train MSE: 0.249454 | Test MSE: 0.249384 | Test Accuracy: 0.5266
Epoch   200 | Train MSE: 0.249339 | Test MSE: 0.249245 | Test Accuracy: 0.5265
Epoch   300 | Train MSE: 0.249249 | Test MSE: 0.249151 | Test Accuracy: 0.5265
Epoch   400 | Train MSE: 0.249156 | Test MSE: 0.249054 | Test Accuracy: 0.5265
Epoch   500 | Train MSE: 0.249052 | Test MSE: 0.248949 | Test Accuracy: 0.5265
Epoch   600 | Train MSE: 0.248934 | Test MSE: 0.248830 | Test Accuracy: 0.5265
Epoch   700 | Train MSE: 0.248797 | Test MSE: 0.248692 | Test Accuracy: 0.5265
Epoch   800 | Train MSE: 0.248635 | Test MSE: 0.248529 | Test Accuracy: 0.5265
Epoch   900 | Train MSE: 0.248444 | Test MSE: 0.248335 | Test Accuracy: 0.5266
Epoch  1000 | Train MSE: 0.248215 | Test MSE: 0.248104 | Test Accuracy: 0.5266
Epoch  1100 | Train MSE: 0.247942 | Test MSE: 0.247828 | Test Accuracy: 0.5268
Epoch  1200 | Train MSE: 0.247615 | Test MSE: 0.247497 | Test Accuracy: 0.5277
Epoch  1300 | Train MSE: 0.247225 | Test MSE: 0.247102 | Test Accuracy: 0.5280
Epoch  1400 | Train MSE: 0.246762 | Test MSE: 0.246632 | Test Accuracy: 0.5280
Epoch  1500 | Train MSE: 0.246214 | Test MSE: 0.246077 | Test Accuracy: 0.5286
Epoch  1600 | Train MSE: 0.245572 | Test MSE: 0.245425 | Test Accuracy: 0.5316
Epoch  1700 | Train MSE: 0.244825 | Test MSE: 0.244666 | Test Accuracy: 0.5321
Epoch  1800 | Train MSE: 0.243966 | Test MSE: 0.243792 | Test Accuracy: 0.5810
Epoch  1900 | Train MSE: 0.242988 | Test MSE: 0.242798 | Test Accuracy: 0.6149
Epoch  2000 | Train MSE: 0.241892 | Test MSE: 0.241681 | Test Accuracy: 0.6722
Epoch  2100 | Train MSE: 0.240679 | Test MSE: 0.240445 | Test Accuracy: 0.6726
Epoch  2200 | Train MSE: 0.239361 | Test MSE: 0.239100 | Test Accuracy: 0.6726
Epoch  2300 | Train MSE: 0.237953 | Test MSE: 0.237662 | Test Accuracy: 0.6722
Epoch  2400 | Train MSE: 0.236477 | Test MSE: 0.236152 | Test Accuracy: 0.6726
Epoch  2500 | Train MSE: 0.234958 | Test MSE: 0.234597 | Test Accuracy: 0.6730
Epoch  2600 | Train MSE: 0.233428 | Test MSE: 0.233027 | Test Accuracy: 0.6730
Epoch  2700 | Train MSE: 0.231916 | Test MSE: 0.231473 | Test Accuracy: 0.6730
Epoch  2800 | Train MSE: 0.230451 | Test MSE: 0.229965 | Test Accuracy: 0.6730
Epoch  2900 | Train MSE: 0.229059 | Test MSE: 0.228529 | Test Accuracy: 0.6730
Epoch  3000 | Train MSE: 0.227761 | Test MSE: 0.227187 | Test Accuracy: 0.6730
Epoch  3100 | Train MSE: 0.226572 | Test MSE: 0.225952 | Test Accuracy: 0.6730
Epoch  3200 | Train MSE: 0.225498 | Test MSE: 0.224835 | Test Accuracy: 0.6730
Epoch  3300 | Train MSE: 0.224544 | Test MSE: 0.223837 | Test Accuracy: 0.6730
Epoch  3400 | Train MSE: 0.223706 | Test MSE: 0.222958 | Test Accuracy: 0.6730
Epoch  3500 | Train MSE: 0.222980 | Test MSE: 0.222192 | Test Accuracy: 0.6730
Epoch  3600 | Train MSE: 0.222355 | Test MSE: 0.221529 | Test Accuracy: 0.6730
Epoch  3700 | Train MSE: 0.221823 | Test MSE: 0.220962 | Test Accuracy: 0.6730
Epoch  3800 | Train MSE: 0.221373 | Test MSE: 0.220478 | Test Accuracy: 0.6730
Epoch  3900 | Train MSE: 0.220994 | Test MSE: 0.220068 | Test Accuracy: 0.6730
Epoch  4000 | Train MSE: 0.220677 | Test MSE: 0.219722 | Test Accuracy: 0.6730
Epoch  4100 | Train MSE: 0.220413 | Test MSE: 0.219431 | Test Accuracy: 0.6730
Epoch  4200 | Train MSE: 0.220193 | Test MSE: 0.219186 | Test Accuracy: 0.6730
Epoch  4300 | Train MSE: 0.220011 | Test MSE: 0.218980 | Test Accuracy: 0.6732
Epoch  4400 | Train MSE: 0.219860 | Test MSE: 0.218808 | Test Accuracy: 0.6732
Epoch  4500 | Train MSE: 0.219735 | Test MSE: 0.218663 | Test Accuracy: 0.6732
Epoch  4600 | Train MSE: 0.219631 | Test MSE: 0.218541 | Test Accuracy: 0.6732
Epoch  4700 | Train MSE: 0.219546 | Test MSE: 0.218439 | Test Accuracy: 0.6730
Epoch  4800 | Train MSE: 0.219475 | Test MSE: 0.218352 | Test Accuracy: 0.6730
Epoch  4900 | Train MSE: 0.219416 | Test MSE: 0.218279 | Test Accuracy: 0.6730
Epoch  5000 | Train MSE: 0.219368 | Test MSE: 0.218217 | Test Accuracy: 0.6730
Epoch  5100 | Train MSE: 0.219327 | Test MSE: 0.218164 | Test Accuracy: 0.6730
Epoch  5200 | Train MSE: 0.219294 | Test MSE: 0.218119 | Test Accuracy: 0.6730
Epoch  5300 | Train MSE: 0.219265 | Test MSE: 0.218080 | Test Accuracy: 0.6729
Epoch  5400 | Train MSE: 0.219242 | Test MSE: 0.218047 | Test Accuracy: 0.6729
Epoch  5500 | Train MSE: 0.219221 | Test MSE: 0.218017 | Test Accuracy: 0.6729
Epoch  5600 | Train MSE: 0.219204 | Test MSE: 0.217992 | Test Accuracy: 0.6729
Epoch  5700 | Train MSE: 0.219188 | Test MSE: 0.217968 | Test Accuracy: 0.6729
Epoch  5800 | Train MSE: 0.219175 | Test MSE: 0.217948 | Test Accuracy: 0.6729
Epoch  5900 | Train MSE: 0.219162 | Test MSE: 0.217929 | Test Accuracy: 0.6729
Epoch  6000 | Train MSE: 0.219151 | Test MSE: 0.217912 | Test Accuracy: 0.6729
Epoch  6100 | Train MSE: 0.219141 | Test MSE: 0.217896 | Test Accuracy: 0.6729
Epoch  6200 | Train MSE: 0.219132 | Test MSE: 0.217881 | Test Accuracy: 0.6729
Epoch  6300 | Train MSE: 0.219125 | Test MSE: 0.217868 | Test Accuracy: 0.6729
Epoch  6400 | Train MSE: 0.219119 | Test MSE: 0.217856 | Test Accuracy: 0.6729
Epoch  6500 | Train MSE: 0.219114 | Test MSE: 0.217845 | Test Accuracy: 0.6729
Epoch  6600 | Train MSE: 0.219110 | Test MSE: 0.217835 | Test Accuracy: 0.6729
Epoch  6700 | Train MSE: 0.219107 | Test MSE: 0.217826 | Test Accuracy: 0.6729
Epoch  6800 | Train MSE: 0.219104 | Test MSE: 0.217818 | Test Accuracy: 0.6729
Epoch  6900 | Train MSE: 0.219101 | Test MSE: 0.217811 | Test Accuracy: 0.6729
Epoch  7000 | Train MSE: 0.219099 | Test MSE: 0.217804 | Test Accuracy: 0.6729
Epoch  7100 | Train MSE: 0.219097 | Test MSE: 0.217798 | Test Accuracy: 0.6729
Epoch  7200 | Train MSE: 0.219096 | Test MSE: 0.217792 | Test Accuracy: 0.6729
Epoch  7300 | Train MSE: 0.219095 | Test MSE: 0.217787 | Test Accuracy: 0.6729
Epoch  7400 | Train MSE: 0.219093 | Test MSE: 0.217782 | Test Accuracy: 0.6729
Epoch  7500 | Train MSE: 0.219092 | Test MSE: 0.217778 | Test Accuracy: 0.6729
Epoch  7600 | Train MSE: 0.219091 | Test MSE: 0.217774 | Test Accuracy: 0.6729
Epoch  7700 | Train MSE: 0.219090 | Test MSE: 0.217770 | Test Accuracy: 0.6729
Epoch  7800 | Train MSE: 0.219089 | Test MSE: 0.217767 | Test Accuracy: 0.6729
Epoch  7900 | Train MSE: 0.219089 | Test MSE: 0.217764 | Test Accuracy: 0.6729
Epoch  8000 | Train MSE: 0.219088 | Test MSE: 0.217761 | Test Accuracy: 0.6729
Epoch  8100 | Train MSE: 0.219087 | Test MSE: 0.217758 | Test Accuracy: 0.6729
Epoch  8200 | Train MSE: 0.219087 | Test MSE: 0.217755 | Test Accuracy: 0.6729
Epoch  8300 | Train MSE: 0.219086 | Test MSE: 0.217753 | Test Accuracy: 0.6729
Epoch  8400 | Train MSE: 0.219085 | Test MSE: 0.217750 | Test Accuracy: 0.6729
Epoch  8500 | Train MSE: 0.219085 | Test MSE: 0.217748 | Test Accuracy: 0.6729
Epoch  8600 | Train MSE: 0.219084 | Test MSE: 0.217746 | Test Accuracy: 0.6729
Epoch  8700 | Train MSE: 0.219084 | Test MSE: 0.217744 | Test Accuracy: 0.6729
Epoch  8800 | Train MSE: 0.219083 | Test MSE: 0.217742 | Test Accuracy: 0.6729
Epoch  8900 | Train MSE: 0.219083 | Test MSE: 0.217740 | Test Accuracy: 0.6729
Epoch  9000 | Train MSE: 0.219082 | Test MSE: 0.217738 | Test Accuracy: 0.6729
Epoch  9100 | Train MSE: 0.219082 | Test MSE: 0.217737 | Test Accuracy: 0.6729
Epoch  9200 | Train MSE: 0.219081 | Test MSE: 0.217735 | Test Accuracy: 0.6729
